text,label,source_type,category,published_date,url,prediction,confidence
"How much parents could save from September's new school uniform rules. Parents should not have to buy more than three branded items, plus a tie for secondary schools.",1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/crrvq1y442vo?at_medium=RSS&at_campaign=rss,1,82.15668201446533
"Risk of patient safety bonfire with Health Bill changes, Lib Dems say. The party says the government's plans to modernise the NHS risk another major hospital scandal.",1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/c62e60m1jygo?at_medium=RSS&at_campaign=rss,1,79.02788519859314
You could be missing out on ?150 off your energy bill. Some people need to ensure they are named on their energy bill before the deadline to qualify for help.,1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/czjlk8wx771o?at_medium=RSS&at_campaign=rss,1,68.43637228012085
Game of Thrones stage spin-off opens at home of Shakespeare. Most theatre critics said it was a worthy addition to the epic fantasy franchise.,1,BBC,reported,09-08-2026,https://www.bbc.co.uk/news/articles/czrjkm68xlno?at_medium=RSS&at_campaign=rss,1,76.45618915557861
Bungalow destroyed in explosion captured on camera. Footage showed the home burning after an explosion thought to have been caused by a gas leak.,1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/videos/c78gx85e05go?at_medium=RSS&at_campaign=rss,0,59.08485651016235
"Could your tattoo stop you from getting a job?. A quarter of the UK population have at least one tattoo, but tattoos still divide opinion in the workplace.",1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/cpq81y7x1yeo?at_medium=RSS&at_campaign=rss,1,84.98164415359497
"Tech leaders say AI means less work, but staff report working up to 90 hours a week. Tech companies are not modelling their own claims that technology gives people more free time.",1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/cvgx4yd1gl2o?at_medium=RSS&at_campaign=rss,1,81.7552387714386
Canadians take fighting wildfires into their own hands. Some rural residents in Canada are learning to fight wildfires and protect their homes.,1,BBC,reported,09-08-2026,https://www.bbc.co.uk/news/articles/c20d89jxpqno?at_medium=RSS&at_campaign=rss,1,81.4061164855957
Mourinho says he agreed to replace Ferguson at Manchester United in 2013. Jose Mourinho revealed in a documentary that he could have succeeded Sir Alex Ferguson in 2013.,1,BBC,reported,09-08-2026,https://www.bbc.co.uk/sport/football/articles/cr7kldj1583o?at_medium=RSS&at_campaign=rss,1,81.3786268234253
Fleadh 2026 in Belfast comes to an end. The 2026 festival was hosted in Belfast for the first time and ended on Sunday.,1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/c4gk74vpzxzo?at_medium=RSS&at_campaign=rss,1,94.52051520347595
"Israel rejects Trump's 15-point plan for Gaza, Netanyahu says. Israel's prime minister said the military would not pull out from Gaza until Hamas was genuinely disarmed.",1,BBC,reported,09-08-2026,https://www.bbc.co.uk/news/articles/c5yw4lpe0yeo?at_medium=RSS&at_campaign=rss,1,96.53443694114685
Alexandria Ocasio-Cortez says she is freezing her eggs. The Democratic congresswoman said she wanted to normalise conversations about the process.,1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/cewrzrekwv5o?at_medium=RSS&at_campaign=rss,1,64.82585072517395
Crews tackle heathland fire that spread from a van. The fire spread to verges and trees after a vehicle caught fire on the A31 near Ringwood.,1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/clye8l9422no?at_medium=RSS&at_campaign=rss,1,59.67082381248474
Body in suitcase found in Australia turns out to be lifelike doll. Forensics revealed that the realistic-looking body was not human.,1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/clyqg4w3gz9o?at_medium=RSS&at_campaign=rss,0,61.86602711677551
Keely Hodgkinson's team and pursuit of a world record. BBC Sport examined the team behind Great Britain 800m star Keely Hodgkinson's rise and pursuit of a world record.,1,BBC,reported,10-08-2026,https://www.bbc.co.uk/sport/athletics/articles/cjwp3nnlgqpo?at_medium=RSS&at_campaign=rss,1,89.83522653579712
